"legislator_name","party","chamber","district_number","leg_n_votes_partisan","leg_mean_partisanship","sd_partisan_vote","se_partisan_vote","lower_bound","upper_bound","leg_label"
"Tom Leek","R","House",28,1041,0.000960614793467819,0.0309937863686872,0.000960614793467819,0,0.00192122958693564,"Tom Leek (R-28)"
"Tommy Gregory","R","House",72,1130,0.00309734513274336,0.0298142396999972,0.000886920140316986,0.00221042499242638,0.00398426527306035,"Tommy Gregory (R-72)"
"Tommy Wright","R","Senate",8,1443,0.00173250173250173,0.0372290216360167,0.000980050507125869,0.000752451225375863,0.0027125522396276,"Tommy Wright (R-8)"
"Traci Koster","R","House",66,1161,0.00473729543496985,0.0655398256432776,0.00192348662960157,0.00281380880536828,0.00666078206457142,"Traci Koster (R-66)"
"Tracie Davis","D","Senate",5,1232,0.0117694805194805,0.0574009227522174,0.00163536056153946,0.0101341199579411,0.01340484108102,"Tracie Davis (D-5)"
"Travis Hutson","R","Senate",7,1494,0,0,0,0,0,"Travis Hutson (R-7)"
"Tyler Sirois","R","House",31,1277,0.0062646828504307,0.0486215728955197,0.00136060967690988,0.00490407317352081,0.00762529252734058,"Tyler Sirois (R-31)"
"Vicki Lopez","R","House",113,1082,0.0134011090573013,0.113115339372565,0.00343880755691072,0.00996230150039058,0.016839916614212,"Vicki Lopez (R-113)"
"Victor Torres","D","Senate",25,1558,0.0121951219512195,0.0674193841827133,0.00170805186785903,0.0104870700833605,0.0139031738190785,"Victor Torres (D-25)"
"Webster Barnaby","R","House",29,1398,0.00143061516452074,0.0378099339079913,0.00101123555855358,0.000419379605967165,0.00244185072307432,"Webster Barnaby (R-29)"
"Will Robinson","R","House",71,1380,0.00507246376811594,0.0658659715097341,0.00177305235111598,0.00329941141699996,0.00684551611923192,"Will Robinson (R-71)"
"Wyman Duggan","R","House",12,1180,0.00211864406779661,0.0411693188371155,0.00119848520688072,0.000920158860915889,0.00331712927467733,"Wyman Duggan (R-12)"
"Yvonne Hayes Hinson","D","House",21,1108,0.0171480144404332,0.0801360630092173,0.00240745468945617,0.014740559750977,0.0195554691298894,"Yvonne Hayes Hinson (D-21)"
